starting
500508,-1252,-102,-161,491
500514,-1292,-121,-161,461
500520,-1353,-166,-157,485
500527,-1445,-196,-173,458
500533,-1486,-210,-182,455
500539,-1502,-204,-192,469
500545,-1518,-207,-195,471
500551,-1522,-208,-185,463
500557,-1516,-216,-177,462
500563,-1498,-225,-159,455
500570,-1439,-209,-141,448
500576,-1402,-189,-117,454
500582,-1353,-173,-125,448
500588,-1367,-143,-122,450
500594,-1370,-119,-131,444
500600,-1371,-123,-137,446
500606,-1367,-120,-128,445
500613,-1349,-113,-122,443
500619,-1310,-114,-94,438
500625,-1311,-120,-90,441
500631,-1360,-127,-98,440
500637,-1369,-139,-104,439
500643,-1365,-111,-107,437
500649,-1370,-110,-122,436
500656,-1361,-87,-125,435
500662,-1371,-79,-122,436
500668,-1394,-81,-138,441
500674,-1407,-97,-147,437
500680,-1416,-96,-146,441
500685,-1465,-108,-164,438
500691,-1520,-124,-199,441
500698,-1541,-117,-202,438
500704,-1567,-130,-208,438
500710,-1598,-158,-206,439
500716,-1602,-184,-204,444
500722,-1571,-202,-179,442
500728,-1556,-216,-168,440
500734,-1574,-238,-185,450
500741,-1551,-250,-179,448
500747,-1516,-238,-154,455
500753,-1469,-231,-146,450
500759,-1414,-206,-139,460
500765,-1350,-168,-124,459
500771,-1314,-155,-120,459
500779,-1249,-134,-98,467
500785,-1201,-124,-96,467
500791,-1189,-120,-90,475
500797,-1203,-120,-101,481
500803,-1166,-101,-83,454
500809,-1130,-85,-98,485
500815,-1112,-81,-86,492
500822,-1067,-78,-65,488
500829,-1043,-95,-64,504
500835,-1046,-95,-72,478
500841,-1073,-97,-75,504
500847,-1064,-97,-78,512
500853,-1063,-103,-95,496
500859,-1047,-94,-107,487
500867,-1043,-86,-106,492
500873,-1008,-66,-108,491
500879,-993,-68,-99,529
500886,-941,-63,-91,504
500892,-934,-72,-92,534
500898,-972,-93,-95,547
500905,-977,-125,-103,552
500912,-966,-141,-104,489
500918,-945,-137,-99,540
500925,-892,-139,-68,506
500931,-851,-143,-59,531
500938,-847,-162,-64,572
500944,-841,-161,-58,580
500952,-815,-159,-45,579
500959,-782,-153,-54,584
500965,-752,-143,-48,584
500972,-707,-127,-36,591
500979,-671,-111,-36,592
500985,-613,-93,-19,595
500993,-542,-66,-2,599
501000,-525,-49,-3,598
501007,-536,-65,-3,602
501013,-551,-72,-10,603
501020,-547,-71,-12,606
501027,-501,-64,-4,608
501033,-474,-57,-4,611
501041,-478,-57,1,612
501048,-477,-53,-13,615
501055,-476,-47,-7,615
501062,-479,-49,-17,613
501068,-479,-48,-16,613
501075,-489,-39,-26,617
501083,-460,-32,-15,622
501090,-430,-22,2,618
501097,-403,-19,-9,624
501103,-417,-20,-6,623
501110,-450,-18,-14,630
501117,-482,-42,-17,625
501125,-487,-51,-15,628
501132,-509,-67,-22,627
501139,-536,-84,-23,621
501146,-554,-95,-27,625
501152,-576,-101,-34,618
501159,-608,-107,-34,615
501167,-627,-107,-36,616
501174,-664,-108,-48,609
501181,-671,-114,-54,610
501188,-655,-111,-38,608
501194,-650,-108,-32,605
501201,-639,-98,-28,602
501209,-663,-92,-31,599
501216,-697,-96,-40,597
501222,-703,-98,-43,593
501229,-736,-104,-39,588
501236,-777,-110,-43,580
501242,-806,-123,-55,576
501250,-826,-128,-60,575
501257,-848,-125,-54,572
501263,-859,-122,-64,567
501270,-872,-110,-61,559
501276,-882,-101,-62,555
501283,-875,-85,-64,559
501289,-867,-74,-48,556
501296,-878,-74,-39,490
501303,-865,-67,-56,538
501309,-880,-44,-48,547
501315,-908,-43,-61,547
501321,-924,-45,-61,469
501328,-963,-52,-64,530
501335,-1009,-62,-80,521
501341,-1065,-81,-96,515
501348,-1125,-110,-106,511
501354,-1154,-111,-109,505
501360,-1198,-132,-114,497
501366,-1218,-150,-108,493
501373,-1266,-153,-119,494
501380,-1295,-159,-122,485
501386,-1308,-158,-125,486
501392,-1311,-150,-126,482
501398,-1329,-156,-117,475
501405,-1338,-166,-125,472
501411,-1356,-168,-119,465
501417,-1384,-167,-126,457
501424,-1398,-167,-134,458
501430,-1415,-165,-138,451
501436,-1428,-178,-137,457
501442,-1438,-174,-138,455
501448,-1462,-180,-141,449
501454,-1475,-187,-142,446
501460,-1466,-182,-146,445
501467,-1461,-174,-138,443
501473,-1437,-162,-136,434
501479,-1428,-142,-133,440
501485,-1418,-129,-125,436
501491,-1400,-115,-107,435
501497,-1351,-94,-117,430
501502,-1339,-76,-104,431
501509,-1340,-72,-110,435
501515,-1352,-77,-108,433
501521,-1369,-81,-117,433
501527,-1398,-94,-122,437
501533,-1399,-96,-131,438
501539,-1430,-116,-142,439
501545,-1445,-131,-143,442
501552,-1466,-149,-136,443
501558,-1496,-168,-141,448
501564,-1499,-180,-146,449
501570,-1509,-193,-142,450
501576,-1505,-191,-149,451
501582,-1510,-188,-146,462
501588,-1504,-193,-144,454
501595,-1481,-184,-142,464
501601,-1454,-179,-131,458
501607,-1423,-173,-135,460
501613,-1395,-160,-127,463
501619,-1397,-173,-132,462
501625,-1401,-176,-122,473
501632,-1385,-180,-124,471
501639,-1361,-167,-124,471
501645,-1338,-162,-116,478
501651,-1296,-154,-113,481
501657,-1267,-143,-102,485
501663,-1216,-135,-91,488
501670,-1182,-120,-97,485
501677,-1149,-117,-83,488
501683,-1116,-96,-77,493
501689,-1088,-87,-72,501
501695,-1051,-66,-69,505
501702,-1014,-59,-70,513
501708,-995,-57,-64,513
501714,-959,-50,-65,519
501722,-947,-60,-68,523
501728,-958,-71,-66,528
501734,-961,-83,-72,535
501741,-959,-99,-61,536
