starting,,,,,
768326,-20936,1740,-4200,5897,
531160,664,340,17260,887,
531164,656,316,17152,888,
768336,-20572,2268,-3044,5876,
531168,560,352,17108,883,
531173,652,256,17200,892,
768346,-20420,2308,-2168,5886,
531177,820,364,17272,885,
531181,572,300,17068,886,
768355,-20096,652,-544,5950,
531185,616,296,17208,888,
531191,620,196,17248,897,
768364,-19156,-1504,768,5962,
531195,712,328,17272,888,
531200,448,184,17168,888,
531204,796,324,17232,863,
531236,820,216,17112,897,
531240,684,260,17116,888,
768412,-13880,-2636,-1332,6208,
531245,636,224,17288,887,
531249,800,232,17120,888,
768421,-13680,-1492,-3636,6205,
531253,832,252,17096,882,
531258,680,240,17132,868,
531262,708,8,17196,881,
768432,-13352,-1348,-4476,6268,
531262,708,8,17196,881,
531271,556,212,17348,897,
768445,-12164,-1944,-1920,6360,
531275,668,232,17024,888,
531281,668,248,17160,896,
768455,-12316,-1372,984,6324,
531286,688,208,17132,888,
531292,616,324,17020,896,
768465,-12684,268,2452,6402,
531296,776,268,17016,888,
531300,624,240,17000,888,
531304,708,336,17076,888,
768475,-13152,2100,1876,6417,
531309,724,216,17116,889,
531313,684,320,17140,883,
768485,-12856,2364,268,6496,
531317,740,320,17208,882,
531321,656,348,17284,884,
768495,-13280,1888,-2460,6478,
531325,572,320,17316,888,
531332,776,312,17060,897,
768505,-13472,2300,-4296,6499,
531336,688,280,17204,888,
531342,800,352,17196,896,
768516,-14428,3684,-5460,6560,
531346,752,348,17224,887,
531350,660,204,17196,888,
531354,692,208,17068,888,
768525,-15044,3704,-4244,6562,
531358,660,284,17084,886,
531363,656,264,17112,892,
768535,-15668,1384,-336,6593,
531367,600,288,17100,862,
531372,604,332,17132,885,
531376,824,344,17228,883,
768545,-15172,-340,1576,6649,
531380,608,280,17144,888,
531384,588,276,17156,888,
768558,-16748,-580,2684,6684,
531388,624,312,17192,888,
531394,796,204,17236,897,
768568,-15300,-804,2700,6705,
531398,588,268,17184,888,
531404,604,100,17188,897,
768578,-15800,448,-864,6706,
531408,784,248,17216,888,
531415,544,196,17128,896,
768588,-16460,2128,-4612,6761,
531419,660,336,17028,887,
531425,620,320,17136,896,
768599,-14156,3780,-8640,6787,
531429,580,284,17116,888,
531435,588,176,17200,896,
531472,576,312,17180,895,
531476,616,268,17140,887,
768648,-6912,-17860,-5828,6900,
531480,636,332,17140,888,
531484,796,236,17164,883,
768658,-9244,-4004,-1324,6909,
531489,636,180,17032,891,
531494,524,368,17248,895,
